iter	Passed	Remaining
718	29922	11694
719	29962	11651
720	29993	11606
721	30025	11560
722	30065	11518
723	30096	11473
724	30126	11427
725	30174	11388
726	30220	11348
727	30257	11304
728	30282	11257
729	30314	11212
730	30344	11166
731	30375	11121
732	30414	11078
733	30462	11039
734	30501	10997
735	30539	10954
736	30570	10909
737	30617	10869
738	30647	10824
739	30675	10777
740	30705	10732
741	30743	10689
742	30774	10644
743	30804	10599
744	30842	10556
745	30871	10511
746	30921	10472
747	30951	10427
748	30981	10382
749	31013	10337
750	31043	10292
751	31081	10250
752	31112	10205
753	31142	10160
754	31180	10118
755	31212	10073
756	31249	10031
757	31280	9986
758	31312	9942
759	31350	9900
760	31397	9860
761	31436	9818
762	31485	9779
763	31515	9735
764	31554	9693
765	31584	9648
766	31616	9604
767	31654	9562
768	31685	9518
769	31716	9473
770	31764	9434
771	31801	9392
772	31851	9353
773	31882	9309
774	31912	9265
775	31944	9221
776	31976	9177
777	32005	9132
778	32039	9089
779	32070	9045
780	32100	9001
781	32137	8958
782	32168	8915
783	32196	8870
784	32224	8825
785	32255	8781
786	32301	8742
787	32331	8698
788	32363	8654
789	32393	8610
790	32431	8569
791	32461	8525
792	32488	8480
793	32536	8441
794	32574	8399
795	32605	8356
796	32643	8314
797	32692	8275
798	32731	8234
799	32780	8195
800	32818	8153
801	32857	8111
802	32888	8068
803	32920	8025
804	32952	7982
805	32985	7939
806	33016	7896
807	33048	7853
808	33078	7809
809	33110	7766
810	33148	7725
811	33185	7683
812	33217	7640
813	33247	7597
814	33280	7554
815	33308	7510
816	33340	7468
817	33371	7424
818	33410	7383
819	33456	7344
820	33503	7304
821	33534	7261
822	33582	7222
823	33619	7180
824	33647	7137
825	33695	7098
826	33726	7055
827	33774	7016
828	33813	6974
829	33839	6931
830	33871	6888
831	33900	6845
832	33938	6804
833	33984	6764
834	34013	6721
835	34044	6678
836	34075	6636
837	34113	6594
838	34144	6552
839	34174	6509
840	34212	6468
841	34253	6427
842	34284	6385
843	34316	6342
844	34345	6300
845	34377	6257
846	34403	6214
847	34442	6173
848	34490	6134
849	34529	6093
850	34566	6052
851	34613	6012
852	34643	5970
853	34673	5927
854	34704	5885
855	34752	5846
856	34799	5806
857	34826	5763
858	34865	5722
859	34912	5683
860	34943	5641
861	34982	5600
862	35014	5558
863	35051	5517
864	35100	5478
865	35132	5436
866	35180	5396
867	35211	5354
868	35258	5315
869	35288	5273
870	35334	5233
871	35382	5193
872	35432	5154
873	35463	5112
874	35500	5071
875	35548	5031
876	35578	4989
877	35626	4950
878	35656	4908
879	35686	4866
880	35726	4825
881	35763	4784
882	35802	4743
883	35847	4703
884	35875	4661
885	35906	4619
886	35936	4578
887	35965	4536
888	36014	4496
889	36054	4456
890	36083	4414
