iter	AUC	Logloss
411	0.9296560585	0.2758634044
412	0.9296610951	0.2758554379
413	0.9296635985	0.2758510891
414	0.9296766818	0.2758322881
415	0.9296892583	0.2758136371
416	0.9296906292	0.2758123437
417	0.9296911359	0.2758114065
418	0.9296969473	0.2757983227
419	0.929721266	0.2757221067
420	0.9297223985	0.2757077295
421	0.9297268391	0.2757008501
422	0.9297311008	0.2756928087
423	0.9297506213	0.2756663599
424	0.9297638535	0.275647109
425	0.9297658503	0.2756445597
426	0.9297742546	0.2756240343
427	0.9297854602	0.2756115878
428	0.9297873676	0.275607239
429	0.9297893345	0.2755794406
430	0.9298045039	0.2755525606
431	0.9298135042	0.2755258119
432	0.9298147857	0.2755201135
433	0.9298295677	0.2754988383
434	0.9298355281	0.2754788189
435	0.9298395813	0.2754700839
436	0.9298395813	0.2754699527
437	0.9298580885	0.275443785
438	0.929853946	0.275441142
439	0.9298560917	0.2754369057
440	0.9298569858	0.2754358185
441	0.9298639894	0.2754239156
442	0.9298717082	0.275414637
443	0.9298740029	0.2754109068
444	0.929890573	0.2753826772
445	0.9298929274	0.2753315416
446	0.9298944473	0.275328655
447	0.9298999906	0.2753138466
448	0.9299004376	0.2753130406
449	0.9299108386	0.275290322
450	0.9299123287	0.2752860857
451	0.9299229085	0.2752603679
452	0.9299263656	0.2752520453
453	0.9299271703	0.2752512767
454	0.9299569726	0.2751778162
455	0.9299594164	0.2751711618
456	0.9299654663	0.2751555474
457	0.9299686551	0.2751524733
458	0.9299686253	0.2751508238
459	0.9299732447	0.2751421262
460	0.9299792945	0.2751293423
461	0.9299860001	0.2751244874
462	0.9299935699	0.2751069611
463	0.9299940467	0.2751061176
464	0.9300302863	0.2750264526
465	0.9300383925	0.27501768
466	0.9300479591	0.2749936305
467	0.9300552607	0.2749836958
468	0.930065155	0.2749647637
469	0.9301049113	0.2749086982
470	0.9301219583	0.2748616864
471	0.9301283062	0.2748506646
472	0.9301322103	0.2748422857
473	0.9301474392	0.2747927059
474	0.9301488698	0.2747902316
475	0.9301839471	0.2747221882
476	0.9301841259	0.2747171272
477	0.9301841557	0.274716696
478	0.9301929772	0.2747089545
479	0.9302122295	0.2746809498
480	0.9302128851	0.2746773509
481	0.9302226305	0.2746662915
482	0.9302298427	0.2746549134
483	0.9302379191	0.274641211
484	0.9302454591	0.2746334882
485	0.9302476645	0.274629758
486	0.9302550554	0.2746139375
487	0.9302552342	0.2746117256
488	0.9302635193	0.2745526047
489	0.9302647114	0.274550674
490	0.9302711785	0.2745258373
491	0.9302727282	0.274523363
492	0.9302733839	0.2745225757
493	0.9302780926	0.2745147591
494	0.9302880764	0.2745026501
495	0.9302880764	0.2745024626
496	0.9302878976	0.2745013754
497	0.9302894771	0.2744836242
498	0.9302903116	0.2744780007
499	0.9302944541	0.2744692095
500	0.9302945137	0.2744691345
501	0.9302939177	0.2744670163
502	0.9302976727	0.2744561631
503	0.9303046465	0.2744427794
504	0.9303047061	0.2744413923
505	0.930311203	0.2744298268
506	0.9303306341	0.274373349
507	0.9303450882	0.2743500868
508	0.9303455651	0.2743492995
509	0.9303486943	0.2743417079
510	0.9303512275	0.27433854
511	0.9303663075	0.274310273
