iter	Passed	Remaining
532	8078	7078
533	8092	7061
534	8107	7046
535	8123	7032
536	8136	7015
537	8149	6998
538	8164	6982
539	8178	6966
540	8192	6950
541	8206	6934
542	8220	6918
543	8235	6903
544	8249	6887
545	8265	6872
546	8278	6855
547	8291	6839
548	8304	6821
549	8319	6807
550	8334	6791
551	8349	6776
552	8365	6761
553	8379	6745
554	8395	6731
555	8409	6715
556	8422	6698
557	8434	6681
558	8449	6665
559	8466	6652
560	8482	6638
561	8499	6624
562	8515	6609
563	8527	6592
564	8540	6575
565	8556	6560
566	8570	6544
567	8584	6528
568	8598	6513
569	8612	6497
570	8625	6480
571	8640	6465
572	8653	6448
573	8669	6434
574	8683	6417
575	8697	6401
576	8709	6384
577	8724	6369
578	8739	6354
579	8752	6338
580	8769	6324
581	8786	6310
582	8799	6293
583	8813	6277
584	8828	6263
585	8841	6246
586	8856	6231
587	8869	6214
588	8885	6200
589	8897	6182
590	8912	6167
591	8926	6151
592	8943	6138
593	8957	6122
594	8971	6106
595	8986	6091
596	8999	6075
597	9013	6059
598	9028	6044
599	9043	6028
600	9057	6013
601	9071	5997
602	9087	5982
603	9102	5968
604	9115	5951
605	9130	5936
606	9145	5921
607	9159	5905
608	9173	5889
609	9188	5874
610	9202	5859
611	9218	5844
612	9234	5829
613	9250	5815
614	9264	5799
615	9278	5784
616	9290	5767
617	9305	5752
618	9320	5737
619	9335	5721
620	9348	5705
621	9364	5690
622	9380	5676
623	9393	5660
624	9407	5644
625	9422	5629
626	9437	5614
627	9453	5599
628	9468	5584
629	9482	5568
630	9495	5552
631	9512	5538
632	9527	5523
633	9542	5508
634	9555	5492
635	9572	5478
636	9587	5463
637	9601	5448
638	9616	5432
639	9630	5417
640	9643	5401
641	9657	5385
642	9672	5370
643	9687	5354
644	9700	5339
645	9715	5323
646	9728	5308
647	9743	5292
648	9757	5277
649	9772	5261
650	9786	5246
651	9801	5231
652	9814	5215
653	9828	5199
654	9842	5184
655	9856	5168
656	9869	5152
657	9884	5137
658	9898	5121
659	9910	5105
660	9925	5090
661	9940	5075
662	9956	5061
663	9971	5045
664	9986	5030
665	10000	5015
666	10014	4999
667	10028	4984
668	10042	4968
669	10056	4953
670	10069	4937
671	10083	4921
672	10097	4906
673	10112	4891
674	10126	4875
675	10140	4860
676	10154	4844
677	10169	4829
678	10184	4814
679	10198	4799
680	10213	4784
681	10226	4768
682	10241	4753
683	10255	4738
684	10270	4723
685	10285	4708
686	10298	4692
687	10311	4676
688	10326	4660
689	10342	4646
690	10355	4630
691	10369	4615
692	10383	4600
693	10397	4584
694	10410	4568
695	10422	4552
696	10437	4537
697	10453	4522
698	10469	4508
699	10485	4493
700	10502	4479
701	10517	4464
702	10532	4449
703	10547	4434
704	10561	4419
705	10574	4403
706	10586	4387
707	10599	4371
708	10616	4357
709	10631	4342
710	10647	4328
711	10661	4312
712	10676	4297
713	10692	4282
714	10706	4267
715	10720	4252
716	10735	4237
717	10748	4221
718	10762	4206
719	10776	4190
720	10790	4175
721	10803	4159
722	10817	4144
723	10831	4129
724	10845	4113
725	10860	4098
726	10872	4082
727	10889	4068
728	10902	4053
729	10916	4037
730	10931	4022
731	10944	4007
732	10961	3992
733	10975	3977
734	10990	3962
735	11004	3947
736	11019	3932
737	11031	3916
738	11046	3901
739	11061	3886
740	11075	3871
741	11086	3854
742	11103	3840
743	11117	3825
744	11131	3810
745	11147	3795
746	11161	3780
747	11176	3765
748	11190	3749
749	11203	3734
750	11219	3719
751	11233	3704
752	11247	3689
753	11262	3674
754	11276	3659
755	11290	3644
756	11306	3629
757	11320	3614
758	11334	3598
759	11348	3583
760	11363	3568
761	11377	3553
762	11390	3538
763	11404	3522
764	11420	3508
765	11434	3493
766	11450	3478
767	11464	3463
768	11479	3448
769	11494	3433
770	11508	3418
771	11524	3403
772	11541	3389
773	11553	3373
774	11567	3358
775	11583	3343
776	11597	3328
777	11612	3313
778	11628	3298
779	11642	3283
780	11657	3268
781	11671	3253
782	11686	3238
783	11700	3223
784	11716	3208
785	11730	3193
786	11746	3179
787	11761	3164
788	11776	3149
789	11789	3133
790	11802	3118
791	11817	3103
792	11833	3089
793	11848	3074
794	11863	3059
795	11878	3044
796	11894	3029
797	11911	3015
798	11925	2999
799	11938	2984
800	11952	2969
801	11968	2954
802	11983	2939
803	11995	2924
804	12011	2909
805	12027	2894
806	12041	2879
807	12055	2864
808	12068	2849
809	12082	2834
810	12098	2819
811	12110	2803
812	12124	2788
813	12141	2774
814	12152	2758
815	12165	2743
816	12181	2728
817	12195	2713
818	12209	2698
819	12224	2683
820	12238	2668
821	12254	2653
822	12266	2638
823	12280	2623
824	12295	2608
825	12311	2593
826	12325	2578
827	12338	2563
828	12353	2548
829	12368	2533
830	12383	2518
831	12397	2503
832	12410	2488
833	12425	2473
834	12441	2458
835	12453	2443
836	12467	2427
837	12482	2413
838	12496	2398
839	12514	2383
840	12527	2368
841	12542	2353
842	12557	2338
843	12572	2323
844	12586	2308
845	12605	2294
846	12619	2279
847	12633	2264
848	12647	2249
849	12662	2234
850	12674	2219
851	12689	2204
852	12703	2189
853	12716	2174
854	12730	2158
855	12747	2144
856	12761	2129
857	12776	2114
858	12791	2099
859	12803	2084
860	12819	2069
861	12832	2054
862	12846	2039
863	12860	2024
864	12875	2009
865	12890	1994
866	12904	1979
867	12917	1964
868	12932	1949
869	12946	1934
870	12962	1919
871	12975	1904
872	12991	1889
873	13008	1875
874	13024	1860
875	13038	1845
876	13054	1830
877	13069	1816
878	13082	1800
879	13095	1785
880	13110	1770
881	13127	1756
882	13140	1741
883	13153	1726
884	13171	1711
